city,year,month,temp_mean_c,temp_min_c,temp_max_c,rainy_days,rainy_day_frac
Iași,2025,3,9.435483870967742,-3.0,22.5,11,0.3548387096774194
Iași,2025,4,11.593333333333334,-2.3,25.6,12,0.4
Iași,2025,5,14.066129032258065,2.6,27.5,24,0.7741935483870968
Iași,2025,6,21.063333333333333,11.6,31.4,10,0.3333333333333333
Iași,2025,7,23.633870967741935,13.6,35.7,14,0.45161290322580644
Iași,2025,8,21.683870967741935,9.8,31.9,7,0.22580645161290322
Iași,2025,9,18.173333333333336,3.4,30.8,10,0.3333333333333333
Iași,2025,10,10.306666666666667,2.9,16.6,15,1.0
Oradea,2023,1,5.406451612903226,-3.4,14.5,19,0.6129032258064516
Oradea,2023,2,2.094642857142857,-12.1,14.6,14,0.5
Oradea,2023,3,7.712903225806452,-2.7,20.5,17,0.5483870967741935
Oradea,2023,4,9.59,-0.2,20.4,22,0.7333333333333333
Oradea,2023,5,16.62741935483871,5.9,25.8,22,0.7096774193548387
Oradea,2023,6,19.861666666666668,9.3,32.2,22,0.7333333333333333
Oradea,2023,7,23.633870967741935,13.8,33.9,18,0.5806451612903226
Oradea,2023,8,23.993548387096773,12.8,36.2,16,0.5161290322580645
Oradea,2023,9,20.916666666666668,12.0,30.5,10,0.3333333333333333
Oradea,2023,10,15.429032258064517,1.9,25.8,14,0.45161290322580644
Oradea,2023,11,7.128333333333333,-4.4,20.3,21,0.7
Oradea,2023,12,4.201612903225806,-4.9,17.1,14,0.45161290322580644
Oradea,2024,1,2.303225806451613,-6.0,12.4,19,0.6129032258064516
Oradea,2024,2,8.513793103448275,-2.4,19.6,18,0.6206896551724138
Oradea,2024,3,10.16451612903226,-0.6,25.1,17,0.5483870967741935
Oradea,2024,4,14.321666666666665,2.2,27.6,13,0.43333333333333335
Oradea,2024,5,17.796774193548387,7.6,26.5,20,0.6451612903225806
Oradea,2024,6,22.526666666666667,10.8,34.2,19,0.6333333333333333
Oradea,2024,7,25.070967741935487,12.5,37.2,11,0.3548387096774194
Oradea,2024,8,24.906451612903226,13.1,34.9,11,0.3548387096774194
Oradea,2024,9,19.470000000000002,8.1,33.0,12,0.4
Oradea,2024,10,12.416129032258064,1.6,23.3,9,0.2903225806451613
Oradea,2024,11,4.735,-2.4,15.1,9,0.3
Oradea,2024,12,2.8080645161290323,-4.2,10.3,13,0.41935483870967744
Oradea,2025,1,3.838709677419355,-4.4,17.3,16,0.5161290322580645
Oradea,2025,2,1.4821428571428572,-8.2,16.9,6,0.21428571428571427
Oradea,2025,3,9.258064516129032,-3.4,20.2,19,0.6129032258064516
Oradea,2025,4,13.126666666666667,-3.5,29.3,18,0.6
Oradea,2025,5,14.333870967741936,3.5,28.0,20,0.6451612903225806
Oradea,2025,6,23.068333333333335,10.9,34.9,5,0.16666666666666666
Oradea,2025,7,23.601612903225806,13.4,37.6,18,0.5806451612903226
Oradea,2025,8,23.253225806451614,10.2,36.5,8,0.25806451612903225
Oradea,2025,9,20.228333333333335,4.7,33.1,17,0.5666666666666667
Oradea,2025,10,10.483333333333333,3.8,17.3,8,0.5333333333333333
Ploiești,2023,1,4.306451612903226,-2.6,16.9,18,0.5806451612903226
Ploiești,2023,2,3.2410714285714284,-9.2,18.1,10,0.35714285714285715
Ploiești,2023,3,7.504838709677419,-3.2,20.8,12,0.3870967741935484
Ploiești,2023,4,10.238333333333333,1.3,19.4,26,0.8666666666666667
Ploiești,2023,5,16.25161290322581,5.1,26.4,19,0.6129032258064516
Ploiești,2023,6,20.878333333333334,11.8,32.0,17,0.5666666666666667
Ploiești,2023,7,24.511290322580646,11.9,35.1,16,0.5161290322580645
Ploiești,2023,8,24.76451612903226,12.8,35.0,15,0.4838709677419355
Ploiești,2023,9,21.43,11.5,31.2,7,0.23333333333333334
Ploiești,2023,10,16.03548387096774,3.7,29.5,6,0.1935483870967742
Ploiești,2023,11,7.973333333333333,-3.3,20.7,16,0.5333333333333333
Ploiești,2023,12,4.498387096774193,-3.5,17.1,10,0.3225806451612903
Ploiești,2024,1,1.3387096774193548,-9.4,13.7,10,0.3225806451612903
Ploiești,2024,2,7.620689655172414,-5.0,18.6,8,0.27586206896551724
Ploiești,2024,3,8.393548387096773,-0.5,26.2,16,0.5161290322580645
Ploiești,2024,4,14.928333333333335,3.5,29.2,16,0.5333333333333333
Ploiești,2024,5,16.224193548387095,6.6,27.0,21,0.6774193548387096
Ploiești,2024,6,24.875,14.6,37.7,15,0.5
Ploiești,2024,7,26.385483870967743,15.4,38.6,15,0.4838709677419355
Ploiești,2024,8,26.046774193548387,15.3,35.0,12,0.3870967741935484
Ploiești,2024,9,20.298333333333332,9.0,33.9,8,0.26666666666666666
Ploiești,2024,10,13.061290322580644,1.0,26.5,8,0.25806451612903225
Ploiești,2024,11,4.616666666666666,-3.9,20.4,9,0.3
Ploiești,2024,12,3.8774193548387097,-2.6,13.6,17,0.5483870967741935
Ploiești,2025,1,4.464516129032258,-7.9,17.5,7,0.22580645161290322
Ploiești,2025,2,-1.8928571428571428,-13.2,11.2,10,0.35714285714285715
Ploiești,2025,3,9.330645161290322,-4.2,24.1,17,0.5483870967741935
Ploiești,2025,4,11.62,-3.2,25.4,19,0.6333333333333333
Ploiești,2025,5,14.864516129032257,3.7,28.9,25,0.8064516129032258
Ploiești,2025,6,22.381666666666668,11.3,35.4,8,0.26666666666666666
Ploiești,2025,7,24.979032258064517,14.3,38.4,14,0.45161290322580644
Ploiești,2025,8,23.29516129032258,10.4,33.8,6,0.1935483870967742
Ploiești,2025,9,19.384999999999998,7.1,33.4,6,0.2
